Year,Month,Day,MJD,HAM_ms
1978,12,27,43869,0.27761600
1978,12,28,43870,0.27560808
1978,12,29,43871,0.27395026
1978,12,30,43872,0.27268274
1978,12,31,43873,0.27224748
1979,1,1,43874,0.27201682
1979,1,2,43875,0.27105424
1979,1,3,43876,0.26983975
1979,1,4,43877,0.26911046
1979,1,5,43878,0.26731436
1979,1,6,43879,0.26589987
1979,1,7,43880,0.26562294
1979,1,8,43881,0.26597583
1979,1,9,43882,0.26475712
1979,1,10,43883,0.26330169
1979,1,11,43884,0.26279138
1979,1,12,43885,0.26213715
1979,1,13,43886,0.26214813
1979,1,14,43887,0.26284315
1979,1,15,43888,0.26299628
1979,1,16,43889,0.26223427
1979,1,17,43890,0.26165034
1979,1,18,43891,0.26168421
1979,1,19,43892,0.26114177
1979,1,20,43893,0.26139620
1979,1,21,43894,0.26325612
1979,1,22,43895,0.26421940
1979,1,23,43896,0.26504743
1979,1,24,43897,0.26589105
1979,1,25,43898,0.26636355
1979,1,26,43899,0.26614853
1979,1,27,43900,0.26623849
1979,1,28,43901,0.26691838
1979,1,29,43902,0.26771074
1979,1,30,43903,0.26829201
1979,1,31,43904,0.26950843
1979,2,1,43905,0.26982165
1979,2,2,43906,0.26984899
1979,2,3,43907,0.27002104
1979,2,4,43908,0.27046353
1979,2,5,43909,0.27082914
1979,2,6,43910,0.27076506
1979,2,7,43911,0.27123109
1979,2,8,43912,0.27056415
1979,2,9,43913,0.27102414
1979,2,10,43914,0.27155107
1979,2,11,43915,0.27259676
1979,2,12,43916,0.27351809
1979,2,13,43917,0.27475532
1979,2,14,43918,0.27481339
1979,2,15,43919,0.27656215
1979,2,16,43920,0.27652001
1979,2,17,43921,0.27583348
1979,2,18,43922,0.27675520
1979,2,19,43923,0.27804475
1979,2,20,43924,0.27816075
1979,2,21,43925,0.27880178
1979,2,22,43926,0.27900424
1979,2,23,43927,0.28026939
1979,2,24,43928,0.28172012
1979,2,25,43929,0.28227721
1979,2,26,43930,0.28269024
1979,2,27,43931,0.28298343
1979,2,28,43932,0.28472215
1979,3,1,43933,0.28629134
1979,3,2,43934,0.28639908
1979,3,3,43935,0.28696552
1979,3,4,43936,0.28801674
1979,3,5,43937,0.28872626
1979,3,6,43938,0.28951023
1979,3,7,43939,0.28978842
1979,3,8,43940,0.29000468
1979,3,9,43941,0.29220649
1979,3,10,43942,0.29296715
1979,3,11,43943,0.29246964
1979,3,12,43944,0.29270348
1979,3,13,43945,0.29301751
1979,3,14,43946,0.29390831
1979,3,15,43947,0.29439578
1979,3,16,43948,0.29455381
1979,3,17,43949,0.29362141
1979,3,18,43950,0.29274646
1979,3,19,43951,0.29163851
1979,3,20,43952,0.29078848
1979,3,21,43953,0.28977068
1979,3,22,43954,0.28956486
1979,3,23,43955,0.28999403
1979,3,24,43956,0.29074519
1979,3,25,43957,0.29128126
1979,3,26,43958,0.29202475
1979,3,27,43959,0.29175632
1979,3,28,43960,0.29149627
1979,3,29,43961,0.29085679
1979,3,30,43962,0.28973369
1979,3,31,43963,0.28886135
1979,4,1,43964,0.28833538
1979,4,2,43965,0.28871193
1979,4,3,43966,0.28944987
1979,4,4,43967,0.28984898
1979,4,5,43968,0.28972879
1979,4,6,43969,0.28997024
1979,4,7,43970,0.28952483
1979,4,8,43971,0.28882628
1979,4,9,43972,0.28845349
1979,4,10,43973,0.28739529
1979,4,11,43974,0.28695661
1979,4,12,43975,0.28678611
1979,4,13,43976,0.28658389
1979,4,14,43977,0.28570020
1979,4,15,43978,0.28439492
1979,4,16,43979,0.28321502
1979,4,17,43980,0.28307853
1979,4,18,43981,0.28130753
1979,4,19,43982,0.27976516
1979,4,20,43983,0.27826206
1979,4,21,43984,0.27800271
1979,4,22,43985,0.27882021
1979,4,23,43986,0.27892880
1979,4,24,43987,0.27896596
1979,4,25,43988,0.27827012
1979,4,26,43989,0.27799788
1979,4,27,43990,0.27784323
1979,4,28,43991,0.27782474
1979,4,29,43992,0.27782622
1979,4,30,43993,0.27765227
1979,5,1,43994,0.27719699
1979,5,2,43995,0.27703065
1979,5,3,43996,0.27696932
1979,5,4,43997,0.27769733
1979,5,5,43998,0.27811789
1979,5,6,43999,0.27720019
1979,5,7,44000,0.27624860
1979,5,8,44001,0.27549912
1979,5,9,44002,0.27440276
1979,5,10,44003,0.27314802
1979,5,11,44004,0.27217687
