Year,Month,Day,MJD,SLAM_ms
1977,11,11,43458,-0.12298413
1977,11,12,43459,-0.12727185
1977,11,13,43460,-0.12980468
1977,11,14,43461,-0.12855211
1977,11,15,43462,-0.12376298
1977,11,16,43463,-0.12519670
1977,11,17,43464,-0.12936396
1977,11,18,43465,-0.12894566
1977,11,19,43466,-0.12952708
1977,11,20,43467,-0.13796218
1977,11,21,43468,-0.13960101
1977,11,22,43469,-0.13807070
1977,11,23,43470,-0.14325264
1977,11,24,43471,-0.15126485
1977,11,25,43472,-0.15614523
1977,11,26,43473,-0.14021379
1977,11,27,43474,-0.12546163
1977,11,28,43475,-0.12987902
1977,11,29,43476,-0.12760201
1977,11,30,43477,-0.13118025
1977,12,1,43478,-0.13198158
1977,12,2,43479,-0.11875545
1977,12,3,43480,-0.12519340
1977,12,4,43481,-0.13926439
1977,12,5,43482,-0.15018981
1977,12,6,43483,-0.15241435
1977,12,7,43484,-0.14684344
1977,12,8,43485,-0.14930056
1977,12,9,43486,-0.15694286
1977,12,10,43487,-0.16672352
1977,12,11,43488,-0.16902008
1977,12,12,43489,-0.17079291
1977,12,13,43490,-0.18415881
1977,12,14,43491,-0.19843122
1977,12,15,43492,-0.19455535
1977,12,16,43493,-0.17920338
1977,12,17,43494,-0.16481135
1977,12,18,43495,-0.15920270
1977,12,19,43496,-0.16359589
1977,12,20,43497,-0.16605917
1977,12,21,43498,-0.17291297
1977,12,22,43499,-0.16625738
1977,12,23,43500,-0.14813096
1977,12,24,43501,-0.16254958
1977,12,25,43502,-0.19679057
1977,12,26,43503,-0.20482574
1977,12,27,43504,-0.17854290
1977,12,28,43505,-0.16167282
1977,12,29,43506,-0.16076581
1977,12,30,43507,-0.15794907
1977,12,31,43508,-0.16561531
1978,1,1,43509,-0.18387289
1978,1,2,43510,-0.19126163
1978,1,3,43511,-0.17455162
1978,1,4,43512,-0.15988150
1978,1,5,43513,-0.15055083
1978,1,6,43514,-0.15040006
1978,1,7,43515,-0.16870987
1978,1,8,43516,-0.19446267
1978,1,9,43517,-0.20936449
1978,1,10,43518,-0.21073097
1978,1,11,43519,-0.19112772
1978,1,12,43520,-0.16482187
1978,1,13,43521,-0.15355341
1978,1,14,43522,-0.14717499
1978,1,15,43523,-0.16102964
1978,1,16,43524,-0.18798537
1978,1,17,43525,-0.19246879
1978,1,18,43526,-0.18995066
1978,1,19,43527,-0.19592218
1978,1,20,43528,-0.19556953
1978,1,21,43529,-0.20205446
1978,1,22,43530,-0.20620634
1978,1,23,43531,-0.21023695
1978,1,24,43532,-0.22555722
1978,1,25,43533,-0.22737627
1978,1,26,43534,-0.22960790
1978,1,27,43535,-0.23667930
1978,1,28,43536,-0.22261340
1978,1,29,43537,-0.21880917
1978,1,30,43538,-0.23348025
1978,1,31,43539,-0.23915653
1978,2,1,43540,-0.23422587
1978,2,2,43541,-0.23186834
1978,2,3,43542,-0.24332943
1978,2,4,43543,-0.24852406
1978,2,5,43544,-0.24034563
1978,2,6,43545,-0.24177937
1978,2,7,43546,-0.25169103
1978,2,8,43547,-0.26072064
1978,2,9,43548,-0.26063855
1978,2,10,43549,-0.24793724
1978,2,11,43550,-0.24094145
1978,2,12,43551,-0.23025652
1978,2,13,43552,-0.22623144
1978,2,14,43553,-0.22966945
1978,2,15,43554,-0.21943294
1978,2,16,43555,-0.22154062
1978,2,17,43556,-0.23274517
1978,2,18,43557,-0.24166965
1978,2,19,43558,-0.24672366
1978,2,20,43559,-0.24006016
1978,2,21,43560,-0.23652506
1978,2,22,43561,-0.23700103
1978,2,23,43562,-0.23443753
1978,2,24,43563,-0.23579508
1978,2,25,43564,-0.23963116
1978,2,26,43565,-0.24505057
1978,2,27,43566,-0.24693399
1978,2,28,43567,-0.24486502
1978,3,1,43568,-0.25162304
1978,3,2,43569,-0.25502374
1978,3,3,43570,-0.24733935
1978,3,4,43571,-0.25280456
1978,3,5,43572,-0.27286823
1978,3,6,43573,-0.28651974
1978,3,7,43574,-0.29916372
1978,3,8,43575,-0.31809493
1978,3,9,43576,-0.32881958
1978,3,10,43577,-0.31341979
1978,3,11,43578,-0.28057116
1978,3,12,43579,-0.26867012
1978,3,13,43580,-0.27877111
1978,3,14,43581,-0.28236721
1978,3,15,43582,-0.28540190
1978,3,16,43583,-0.28056109
1978,3,17,43584,-0.27048804
1978,3,18,43585,-0.26905159
1978,3,19,43586,-0.26511206
1978,3,20,43587,-0.27892783
1978,3,21,43588,-0.30729853
1978,3,22,43589,-0.31908845
1978,3,23,43590,-0.32189488
1978,3,24,43591,-0.32175680
1978,3,25,43592,-0.32925655
1978,3,26,43593,-0.34336697
1978,3,27,43594,-0.33403588
1978,3,28,43595,-0.31621446
1978,3,29,43596,-0.31079466
