Year,Month,Day,MJD,OAM_ms
1978,9,28,43779,0.01073832
1978,9,29,43780,0.00536796
1978,9,30,43781,-0.00943506
1978,10,1,43782,-0.00353428
1978,10,2,43783,0.03174409
1978,10,3,43784,0.02362130
1978,10,4,43785,0.03329647
1978,10,5,43786,0.01686831
1978,10,6,43787,0.04644898
1978,10,7,43788,0.02419222
1978,10,8,43789,0.01534227
1978,10,9,43790,0.02055951
1978,10,10,43791,0.02951071
1978,10,11,43792,0.00199216
1978,10,12,43793,-0.03493564
1978,10,13,43794,-0.04762348
1978,10,14,43795,-0.01454583
1978,10,15,43796,-0.01466799
1978,10,16,43797,-0.00511894
1978,10,17,43798,0.03799974
1978,10,18,43799,0.03936702
1978,10,19,43800,0.01666670
1978,10,20,43801,-0.03250773
1978,10,21,43802,-0.01106295
1978,10,22,43803,-0.01272169
1978,10,23,43804,-0.00569687
1978,10,24,43805,-0.00959498
1978,10,25,43806,-0.01944943
1978,10,26,43807,-0.02999393
1978,10,27,43808,-0.04465259
1978,10,28,43809,-0.02919745
1978,10,29,43810,-0.03953712
1978,10,30,43811,-0.02377604
1978,10,31,43812,0.01989981
1978,11,1,43813,-0.01417098
1978,11,2,43814,0.00094017
1978,11,3,43815,-0.04189975
1978,11,4,43816,-0.08452454
1978,11,5,43817,-0.09243014
1978,11,6,43818,-0.09503926
1978,11,7,43819,-0.07418083
1978,11,8,43820,-0.04543868
1978,11,9,43821,-0.06549129
1978,11,10,43822,-0.04644438
1978,11,11,43823,-0.03409872
1978,11,12,43824,-0.06071360
1978,11,13,43825,-0.04718984
1978,11,14,43826,-0.05897468
1978,11,15,43827,-0.05063133
1978,11,16,43828,-0.05283786
1978,11,17,43829,-0.06816599
1978,11,18,43830,-0.08343237
1978,11,19,43831,-0.07743157
1978,11,20,43832,-0.06359979
1978,11,21,43833,-0.06290648
1978,11,22,43834,-0.03946369
1978,11,23,43835,-0.04097279
1978,11,24,43836,-0.05157590
1978,11,25,43837,-0.06787147
